Product code,Product label,"Korea, Republic of's imports from Japan-Value in 2012","Korea, Republic of's imports from Japan-Value in 2013","Korea, Republic of's imports from Japan-Value in 2014","Korea, Republic of's imports from Japan-Value in 2015","Korea, Republic of's imports from Japan-Value in 2016","Korea, Republic of's imports from Japan-Value in 2017","Korea, Republic of's imports from Japan-Value in 2018","Korea, Republic of's imports from Japan-Value in 2019","Korea, Republic of's imports from Japan-Value in 2020","Korea, Republic of's imports from Japan-Value in 2021",Japan's exports to world- ,Japan's exports to world-Value in 2012,Japan's exports to world-Value in 2013,Japan's exports to world-Value in 2014,Japan's exports to world-Value in 2015,Japan's exports to world-Value in 2016,Japan's exports to world-Value in 2017,Japan's exports to world-Value in 2018,Japan's exports to world-Value in 2019,Japan's exports to world-Value in 2020,Japan's exports to world-Value in 2021,"Korea, Republic of's imports from world- ","Korea, Republic of's imports from world-Value in 2012","Korea, Republic of's imports from world-Value in 2013","Korea, Republic of's imports from world-Value in 2014","Korea, Republic of's imports from world-Value in 2015","Korea, Republic of's imports from world-Value in 2016","Korea, Republic of's imports from world-Value in 2017","Korea, Republic of's imports from world-Value in 2018","Korea, Republic of's imports from world-Value in 2019","Korea, Republic of's imports from world-Value in 2020","Korea, Republic of's imports from world-Value in 2021"
381519,"Supported catalysts, n.e.s. (excluding with precious metal, a precious-metal compound, nickel ...",81797,92517,79530,79324,85790,80591,107489,141852,129783,108392,,534531,440221,428587,323674,359091,352055,403246,496066,422350,481383,,305265,379797,242941,329987,262907,284127,327715,471328,424486,374566
290121,Ethylene,144299,182330,264373,190012,130203,86922,83238,75564,124629,107228,,702167,1089469,1099014,916164,693617,741916,703508,672235,495081,666912,,164194,188558,332982,224018,154744,123577,161488,105539,240685,217114
370500,"Photographic plates and film, exposed and developed (excl. products made of paper, paperboard ...",0,0,0,0,0,67330,83252,100356,100787,104726,,0,0,0,0,0,368822,498124,457446,395735,399091,,0,0,0,0,0,92815,111534,148304,147040,159942
854160,Mounted piezoelectric crystals,68153,57238,51632,59398,70598,59156,59151,62343,91932,104258,,1423340,1291407,1412354,1641288,2055093,1825089,1725086,1588377,1689049,1932560,,258181,265970,329468,390786,338661,299979,271509,211351,251905,464123
970110,"Paintings, e.g. oil paintings, watercolours and pastels, and drawings executed entirely by ...",4655,7637,11030,22592,17078,43568,42980,26687,26426,101213,,105719,184148,134564,239446,263484,212200,293874,257067,88897,154033,,80994,78317,63925,113392,263510,262291,320530,273122,214765,495897
390730,"Epoxide resins, in primary forms",103016,91826,88305,78642,78047,74958,79338,75659,78989,101207,,532772,479711,462952,398797,456566,474676,500122,480741,496901,607500,,201947,182703,187740,148731,162401,138874,149128,140641,144803,201726
854390,"Parts of electrical machines and apparatus, having individual functions, n.e.s. in chapter ...",38733,45155,27844,21450,25114,27230,19874,23358,13656,100968,,631089,795908,748949,956284,1038384,1012446,1053814,1193158,1165970,1066336,,284227,364096,355228,281356,217834,219127,177105,232492,196666,294507
903090,Parts and accessories for instruments and apparatus for measuring or checking electrical quantities ...,183643,134632,121782,140288,87696,105140,105386,112809,127507,100736,,1211158,871629,923983,996663,927046,1328902,1359412,1308664,1471363,1763480,,455595,416134,418351,464384,387847,455803,466003,554397,591007,642698
841381,"Pumps for liquids, power-driven (excluding those of subheading 8413.11 and 8413.19, fuel, lubricating ...",90687,73041,73899,74761,100935,89942,99165,85997,104013,100245,,157318,171983,167846,163427,159059,144020,127330,101676,97494,129178,,436010,473216,481794,496628,388861,332633,223713,320522,246709,219282
290339,"Fluorinated, brominated or iodinated derivatives of acyclic hydrocarbons (excluding ethylene ...",44826,31686,38903,35765,39027,68738,85887,88173,90695,99721,,196430,147978,150868,203095,250617,278221,268056,264513,256789,304249,,116791,100624,101359,100112,120858,189342,260442,301573,315492,336098
282590,"Bases, inorganic, and metal oxides, hydroxides and peroxides, n.e.s.",17590,15394,11043,9734,9295,8153,9265,42528,65074,99118,,43273,41283,40888,32327,35547,40991,39157,33697,25330,35214,,213144,145442,139541,120400,96461,116152,143170,1143158,1465327,2749034
950490,"Tables for casino games, automatic bowling alley equipment, and other funfair, table or parlour ...",16125,12024,10564,14101,13528,22659,51379,60151,103078,98732,,54854,49890,37490,24779,43874,33635,25150,13503,14795,21099,,116582,71467,74585,73037,89277,147616,254659,160236,186172,176317
842641,"Mobile cranes and works trucks fitted with a crane, self-propelled, on tyres (excluding wheel-mounted ...",8354,70277,113371,77863,84458,125920,15404,21284,40222,97692,,409534,599636,726222,651946,461946,451147,421070,513638,363309,416376,,27294,98247,139115,98713,98636,150217,34989,44372,54056,143262
842952,"Self-propelled mechanical shovels, excavators and shovel loaders, with a 360¡Æ revolving su ...",46590,46080,72258,47823,67195,84146,88494,83572,65322,97587,,8796642,6274793,6302923,5436446,5964075,6953668,7957695,7455007,5856728,8248127,,60424,58822,83060,55413,83973,94474,98011,103737,82862,122604
721391,"Bars and rods, hot-rolled, in irregularly wound coils, of iron or non-alloy steel, of circular ...",150231,176980,155022,116563,97303,111591,110047,85527,63149,95659,,531924,592684,614425,537159,507216,497794,465670,375771,264129,474537,,582824,450045,388282,269881,247931,288036,272719,242097,155267,425696
722550,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, not further ...""",3717,7690,26072,28217,36948,49853,60072,64646,73361,95647,,863855,896359,866766,709220,719746,930220,1050586,995382,778347,1348017,,9321,9701,28352,31868,41082,62176,66519,72066,74413,97642
843351,Combine harvester-threshers,24573,21233,34924,39192,50769,53273,71636,73779,82356,93281,,55871,55320,61850,55520,78287,85784,99918,101852,127135,118586,,42113,37301,58452,59241,64739,55760,75971,78534,84341,96232
848790,"Parts of machinery of chapter 84, not intended for a specific purpose, n.e.s.",38171,30587,25123,29781,42546,97078,75290,70406,84289,90951,,487109,459831,480599,432771,443903,470792,511908,484857,473965,574618,,232757,197523,255341,212918,145947,199034,179676,185437,168918,213277
840991,Parts suitable for use solely or principally with spark-ignition internal combustion piston ...,165188,117167,87645,81147,106649,101726,87984,103546,85147,90576,,6096273,5544151,5111633,4342886,4507919,4752871,4904977,4669664,3866279,4704867,,517250,524082,483498,467704,511459,463918,440944,450471,457048,587197
291614,Esters of methacrylic acid,94666,66443,68120,75501,106485,200857,167575,114928,64037,90212,,373080,337301,429424,330312,294565,477302,394414,316057,259877,333536,,163529,151731,131480,128399,149711,248552,250684,139727,84722,138735
740400,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",63997,65189,22415,13882,12876,45824,51521,51485,70555,89910,,1011291,984617,839448,625891,544038,801176,811752,954012,1260605,2341477,,2134047,1950533,1920442,1536958,1190313,1700827,1989196,1892855,1711549,2679466
290122,"Propene """"propylene""""""""",285561,591724,583162,340580,178982,169375,104505,100250,83752,88846,,1029248,1846371,1699834,1003790,596035,722221,725597,748731,548692,532668,,332353,598618,591021,360092,183878,178084,121205,122485,109130,110692
290321,"Vinyl chloride """"chloroethylene""""""""",2142,7422,11564,5825,11733,24551,13668,20747,23307,88456,,353812,590508,583168,523763,507297,619680,595756,578445,579740,1163216,,2142,11913,13942,5825,11734,28832,13668,24998,30190,123351
701952,"Woven fabrics, incl. narrow fabrics, of glass filaments, of width of > 30 cm, plain weave, ...",36684,39178,39522,42904,46763,40773,46096,57524,68340,88284,,97946,96849,104648,99386,117903,120819,120901,137265,201903,189509,,86775,83940,79720,84571,82837,90976,88185,92968,101656,124665
390690,"Acrylic polymers, in primary forms (excluding poly""""methyl methacrylate"""")""""",132206,119159,119304,96344,114652,124180,113091,103088,92548,86311,,1334105,1079156,1329377,1115588,1175851,1357817,1411780,1194129,1109108,1299094,,244195,241686,272708,242662,261303,272084,262899,248223,237661,248031
320490,"Synthetic organic products of a kind used as luminophores, whether or not chemically defined",30404,95608,131743,67251,63085,86919,88190,110772,79841,86106,,12231,11656,9663,12792,19488,19184,11630,12356,6680,9574,,85899,198418,292528,227201,242864,382811,336195,353636,356592,432444
392020,"Plates, sheets, film, foil and strip, of non-cellular polymers of ethylene, not reinforced, ...",24025,20735,19841,19212,27314,32944,30804,49809,85354,84393,,367238,331309,358909,324955,325040,338364,358722,341415,341849,392330,,116459,120825,94728,84073,91848,102543,106017,123685,158050,193126
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",139400,109973,91264,97059,119563,120807,123502,99432,76308,83482,,1029267,917389,909272,1096436,1586677,2164437,3301627,3870775,4803433,5660184,,756667,747164,807355,780363,767329,795165,831877,828528,727559,771944
852580,"Television cameras, digital cameras and video camera recorders",301300,165719,122524,130140,136604,155095,129839,97025,69343,82352,,9331489,5891055,4547778,3646031,3566229,3433771,3239334,2727070,2395651,2639579,,722038,557513,572680,1151415,1489670,954209,798644,807988,862723,952411
902750,"Instruments and apparatus for physical or chemical analysis, using UV, visible or IR optical ...",20204,19374,16205,13706,15191,22081,24386,33673,51665,81476,,392208,377712,399045,386419,404554,493118,503166,582416,620509,621323,,199894,145339,164848,149313,158953,342490,310541,271606,369068,494932
848340,"Gears and gearing for machinery (excluding toothed wheels, chain sprockets and other transmission ...",121954,102758,107597,100709,104767,126415,133779,85468,81450,80695,,2545160,2262152,2166942,1905795,2021189,2226098,2368784,2058031,1765776,2269728,,596674,552817,553108,498961,441326,455498,506948,418345,388445,488086
721049,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",446202,299921,152793,67464,44276,37135,39421,62663,64371,80657,,2515147,2108551,1694864,1213555,968021,999092,993493,824661,670959,1081887,,800145,732810,775798,486157,615334,780566,627568,650894,426577,1021466
840999,"Parts suitable for use solely or principally with compression-ignition internal combustion ...""",205973,162935,149073,114016,122616,142668,91199,87840,68589,80281,,2663463,2226729,1790278,1505854,1465354,1812839,2044114,1933217,1637909,2078857,,1133849,935869,970136,701193,692404,653145,685971,646161,571648,628704
901380,"Liquid crystal devices, n.e.s. and other optical appliances and instruments not elsewhere specified ...",210432,186675,312355,270909,263972,198868,146754,155172,116401,79634,,6423272,5381490,6484510,5112263,4091021,4879435,3522084,2758141,2616823,2552686,,2603226,2093671,2585091,2707784,2035413,3045259,3167948,542051,306049,266295
842890,"Machinery for lifting, handling, loading or unloading, n.e.s.",58907,155774,52656,95759,85322,96362,96373,72414,63630,79564,,665223,622787,622790,584144,616594,733026,913331,884180,738666,617170,,297376,514493,351154,311975,309415,294858,272895,269614,249126,301563
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",150726,114358,122092,138402,160547,152227,92684,90396,72730,79464,,6733424,5642854,4629663,3630672,3480082,3690265,3753397,3516414,2845503,3460819,,967225,872541,874491,851453,927204,871444,763414,694700,761928,835500
848190,"Parts of valves and similar articles for pipes, boiler shells, tanks, vats or the like, n.e.s.",63447,55798,56885,51739,62344,71786,66321,59967,69678,78588,,787243,750234,748714,686898,788739,848313,891745,865948,771146,940249,,417642,453182,432732,388689,376081,370057,380925,356315,351080,448398
291030,"1-Chloro-2,3-epoxypropane """"epichlorohydrin""""""""",43948,41434,39425,38503,33278,42281,53367,69920,55918,78414,,53059,43470,48406,56567,49031,54663,78705,80124,70601,90270,,85804,82576,93212,88757,74937,73909,134963,127321,130822,208209
350610,"Products suitable for use as glues or adhesives put up for retail sale as glues or adhesives, ...",146680,123428,111106,87925,89605,103517,74028,67536,66518,78094,,285212,225080,213241,184711,195804,214192,222485,217608,230740,286862,,177079,157430,148997,122002,124790,146503,118662,112561,114381,134136
370244,"Photographic film """"incl. instant print film""""m, sensitised, in rolls, unexposed, without ...""",10277,18927,26855,25785,30779,33738,44191,47178,56803,77940,,46285,47251,45463,40123,56246,66297,84047,96188,119184,163576,,19461,28736,33497,30570,34253,36096,47541,49467,60132,81924
30199,"Live fish (excluding ornamental fish, trout [Salmo trutta, Oncorhynchus mykiss, Oncorhynchus ...",24838,22657,21449,22452,30267,32563,51735,50792,50718,77359,,26426,22387,20321,21045,29622,31846,49281,49327,48890,74366,,156291,162052,162137,159995,168542,173040,196271,179697,150489,190105
842129,Machinery and apparatus for filtering or purifying liquids (excluding such machinery and apparatus ...,48709,42807,36425,41031,51181,67297,76899,68174,78650,77323,,739589,658315,665862,587650,661889,681534,725789,726630,783582,845716,,189097,257450,222577,193432,169184,259095,248667,272965,311265,364221
481159,"Paper and paperboard, surface-coloured, surface-decorated or printed, coated, impregnated or ...",33432,40006,55549,73692,71375,71655,66384,72540,67546,77271,,366064,305097,282936,232961,223900,226366,209138,195400,155321,174411,,118247,122854,126179,127215,128324,150371,156315,155138,142043,163555
853641,Relays for a voltage <= 60 V,40295,37023,37283,34755,37429,42524,48058,55466,49748,76307,,732547,695276,705238,635821,689061,683599,703333,617621,578045,728105,,134621,127977,127342,124356,131313,159984,170602,158607,151968,207007
853650,Switches for a voltage <= 1.000 V (excluding relays and automatic circuit breakers),99011,95524,123742,139814,124350,111026,87306,79047,81677,76056,,1881928,1733711,1706274,1501360,1524229,1717858,1767450,1566577,1443922,1803101,,344703,344909,436849,440904,458909,478447,411808,376987,352819,398798
850151,"AC motors, multi-phase, of an output > 37,5 W but <= 750 W",52767,55667,53699,56644,60507,82742,84284,49988,51567,75777,,272317,233533,261711,324632,328473,423522,553863,462378,369663,511091,,83149,95919,105563,110606,124199,174764,156828,113894,123611,180297
841490,"Parts of: air or vacuum pumps, air or other gas compressors, fans and ventilating or recycling ...",123032,81614,81195,72803,83047,83468,94689,84242,104181,75693,,1908268,1768968,1744892,1500562,1596589,1785867,1765344,1599953,1398596,1547836,,635948,659733,633648,667165,638717,675761,731139,738467,672386,622276
842199,"Parts of machinery and apparatus for filtering or purifying liquids or gases, n.e.s.",90709,62351,54457,50841,51122,59233,69060,70988,83765,74839,,900159,805238,790649,665510,756285,732245,813511,817180,778914,885385,,327790,339064,326855,314939,280835,323802,380356,422010,436598,476294
841480,"Air pumps, air or other gas compressors and ventilating or recycling hoods incorporating a ...",202496,154735,86564,125841,92239,120123,96766,80690,229134,73688,,1287307,1196862,1302337,1115863,1134352,750793,766850,879532,982571,771766,,711896,795854,851480,745411,614128,676016,626719,602589,801175,569190
731100,"Containers of iron or steel, for compressed or liquefied gas (excluding containers specifically ...",52165,38463,29712,29651,34762,48476,54745,53357,62375,73351,,38065,14799,12509,11875,18472,20221,23520,16921,15482,20060,,191360,166729,195067,205199,185714,213287,194052,190417,205706,244838
840890,"Compression-ignition internal combustion piston engine """"diesel or semi-diesel engine"""" (excluding ...""",158148,97541,115946,73019,91929,104035,92101,71272,56546,73285,,2922154,2360659,2419739,1886539,2019132,2527459,3135938,2970964,2640170,3422000,,524815,438991,452419,342167,384025,475096,504173,429016,323720,433170
